No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
11	Exposure Program Mode	:ref:`CrDeviceProperty_ExposureProgramMode<dp-ExposureProgramMode>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
12	Compress File Format(Still)	:ref:`CrDeviceProperty_CompressionFileFormatStill<dp-CompressionFileFormatStill>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
13	File Format(Still)	:ref:`CrDeviceProperty_FileType<dp-FileType>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
14	Media SLOT1 File Format(Still)	:ref:`CrDeviceProperty_MediaSLOT1_FileType<dp-MediaSLOT1_FileType>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
15	Media SLOT2 File Format(Still)	:ref:`CrDeviceProperty_MediaSLOT2_FileType<dp-MediaSLOT2_FileType>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
16	Still Image Quality	:ref:`CrDeviceProperty_StillImageQuality<dp-StillImageQuality>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
17	Media SLOT1 Image Quality	:ref:`CrDeviceProperty_MediaSLOT1_ImageQuality<dp-MediaSLOT1_ImageQuality>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
18	Media SLOT2 Image Quality	:ref:`CrDeviceProperty_MediaSLOT2_ImageQuality<dp-MediaSLOT2_ImageQuality>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
19	White Balance	:ref:`CrDeviceProperty_WhiteBalance<dp-WhiteBalance>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
20	Focus Mode	:ref:`CrDeviceProperty_FocusMode<dp-FocusMode>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
21	Exposure Metering Mode	:ref:`CrDeviceProperty_MeteringMode<dp-MeteringMode>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	✔
22	Flash Mode	:ref:`CrDeviceProperty_FlashMode<dp-FlashMode>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
23	Flash Compensation	:ref:`CrDeviceProperty_FlashCompensation<dp-FlashCompensation>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
24	Wireless Flash Setting	:ref:`CrDeviceProperty_WirelessFlash<dp-WirelessFlash>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
25	Red Eye Reduction	:ref:`CrDeviceProperty_RedEyeReduction<dp-RedEyeReduction>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
26	Still Capture Mode	:ref:`CrDeviceProperty_DriveMode<dp-DriveMode>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
27	Dynamic Range Optimizer	:ref:`CrDeviceProperty_DRO<dp-DRO>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
28	Image Size	:ref:`CrDeviceProperty_ImageSize<dp-ImageSize>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
29	Media SLOT1 Image Size	:ref:`CrDeviceProperty_MediaSLOT1_ImageSize<dp-MediaSLOT1_ImageSize>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
30	Media SLOT2 Image Size	:ref:`CrDeviceProperty_MediaSLOT2_ImageSize<dp-MediaSLOT2_ImageSize>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
31	Aspect Ratio	:ref:`CrDeviceProperty_AspectRatio<dp-AspectRatio>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
32	Picture Effect 	:ref:`CrDeviceProperty_PictureEffect<dp-PictureEffect>`	R/T	\-	\-	\-	\-	✔	\-	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-
33	Color Temperature	:ref:`CrDeviceProperty_Colortemp<dp-Colortemp>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\*1	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
34	Biaxial Fine Tuning A-B Direction	:ref:`CrDeviceProperty_ColorTuningAB<dp-ColorTuningAB>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
35	Biaxial Fine Tuning G-M Direction	:ref:`CrDeviceProperty_ColorTuningGM<dp-ColorTuningGM>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
36	Live View Display Effect	:ref:`CrDeviceProperty_LiveViewDisplayEffect<dp-LiveViewDisplayEffect>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
37	Still Image Save Destination	:ref:`CrDeviceProperty_StillImageStoreDestination<dp-StillImageStoreDestination>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
38	Position Key Setting	:ref:`CrDeviceProperty_PriorityKeySettings<dp-PriorityKeySettings>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	✔	\-	\-
39	Focus Magnifier Setting	:ref:`CrDeviceProperty_Focus_Magnifier_Setting<dp-Focus_Magnifier_Setting>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
40	Date/Time Setting	:ref:`CrDeviceProperty_DateTime_Settings<dp-DateTime_Settings>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
41	Focus Near/Far Setting	:ref:`CrDeviceProperty_NearFar<dp-NearFar>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
42	Live View Image Quality	:ref:`CrDeviceProperty_LiveView_Image_Quality<dp-LiveView_Image_Quality>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
43	Interval REC Mode	:ref:`CrDeviceProperty_Interval_Rec_Mode<dp-Interval_Rec_Mode>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
44	Still Image Trans Size	:ref:`CrDeviceProperty_Still_Image_Trans_Size<dp-Still_Image_Trans_Size>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
45	RAW+J PC Save Image	:ref:`CrDeviceProperty_RAW_J_PC_Save_Image<dp-RAW_J_PC_Save_Image>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
46	Custom WB Capture Standby	:ref:`CrDeviceProperty_CustomWB_Capture_Standby<dp-CustomWB_Capture_Standby>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
47	Custom WB Capture Standby Cancel	:ref:`CrDeviceProperty_CustomWB_Capture_Standby_Cancel<dp-CustomWB_Capture_Standby_Cancel>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
48	Custom WB Capture	:ref:`CrDeviceProperty_CustomWB_Capture<dp-CustomWB_Capture>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
49	Shooting File Info	:ref:`CrDeviceProperty_SnapshotInfo<dp-SnapshotInfo>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
50	Battery Remaining	:ref:`CrDeviceProperty_BatteryRemain<dp-BatteryRemain>`	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
51	Battery Level Indicator	:ref:`CrDeviceProperty_BatteryLevel<dp-BatteryLevel>`	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
52	Movie Recording State	:ref:`CrDeviceProperty_RecordingState<dp-RecordingState>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
53	LiveView Status	:ref:`CrDeviceProperty_LiveViewStatus<dp-LiveViewStatus>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔
54	Focus Indication	:ref:`CrDeviceProperty_FocusIndication<dp-FocusIndication>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	✔
55	Media SLOT1 Status	:ref:`CrDeviceProperty_MediaSLOT1_Status<dp-MediaSLOT1_Status>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
56	Media SLOT1 Remaining number shots	:ref:`CrDeviceProperty_MediaSLOT1_RemainingNumber<dp-MediaSLOT1_RemainingNumber>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
57	Media SLOT1 Remaining shooting time	:ref:`CrDeviceProperty_MediaSLOT1_RemainingTime<dp-MediaSLOT1_RemainingTime>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
58	Media SLOT1 Full Format Enable Status	:ref:`CrDeviceProperty_MediaSLOT1_FormatEnableStatus<dp-MediaSLOT1_FormatEnableStatus>`	R/T	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-
59	Media SLOT1 Quick Format Enable Status	:ref:`CrDeviceProperty_MediaSLOT1_QuickFormatEnableStatus<dp-MediaSLOT1_QuickFormatEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
60	Media SLOT2 Status	:ref:`CrDeviceProperty_MediaSLOT2_Status<dp-MediaSLOT2_Status>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	✔	✔
61	Media SLOT2 Remaining number shots	:ref:`CrDeviceProperty_MediaSLOT2_RemainingNumber<dp-MediaSLOT2_RemainingNumber>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
62	Media SLOT2 Remaining shooting time	:ref:`CrDeviceProperty_MediaSLOT2_RemainingTime<dp-MediaSLOT2_RemainingTime>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	✔	✔
63	Media SLOT2 Full Format Enable Status	:ref:`CrDeviceProperty_MediaSLOT2_FormatEnableStatus<dp-MediaSLOT2_FormatEnableStatus>`	R/T	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
64	Media SLOT2 Quick Format Enable Status	:ref:`CrDeviceProperty_MediaSLOT2_QuickFormatEnableStatus<dp-MediaSLOT2_QuickFormatEnableStatus>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
65	Media Format Progress Rate	:ref:`CrDeviceProperty_Media_FormatProgressRate<dp-Media_FormatProgressRate>`	R/T	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-
66	Execute Format the Media	:ref:`CrCommandId_MediaFormat<command-MediaFormat>`	R/T	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
67	Execute Quick Format the Media	:ref:`CrCommandId_MediaQuickFormat<command-MediaQuickFormat>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
68	AF Area Position	:ref:`CrDeviceProperty_AF_Area_Position<dp-AF_Area_Position>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
69	Zoom Scale	:ref:`CrDeviceProperty_Zoom_Scale<dp-Zoom_Scale>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
70	Zoom Setting	:ref:`CrDeviceProperty_Zoom_Setting<dp-Zoom_Setting>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔
71	Zoom Operation	:ref:`CrDeviceProperty_Zoom_Operation<dp-Zoom_Operation>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-
72	File Format(Movie)	:ref:`CrDeviceProperty_Movie_File_Format<dp-Movie_File_Format>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\*1	✔	✔	✔	✔	\*1	\*1	✔	✔	✔	\*1	\*1
73	Recording Setting(Movie)	:ref:`CrDeviceProperty_Movie_Recording_Setting<dp-Movie_Recording_Setting>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
74	Recording Frame Rate Setting(Movie)	:ref:`CrDeviceProperty_Movie_Recording_FrameRateSetting<dp-Movie_Recording_FrameRateSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	\*1	✔	✔	✔	✔	\*1	\*1	✔	✔	\-	✔	✔
75	Interval REC Status	:ref:`CrDeviceProperty_Interval_Rec_Status<dp-Interval_Rec_Status>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
76	Control Movie Rec button	:ref:`CrCommandId_MovieRecord<command-MovieRecord>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔
77	Custom WB Execution State	:ref:`CrDeviceProperty_CustomWB_Execution_State<dp-CustomWB_Execution_State>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
78	Custom WB Capturable Area	:ref:`CrDeviceProperty_CustomWB_Capturable_Area<dp-CustomWB_Capturable_Area>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
79	Custom WB Capture Frame Size	:ref:`CrDeviceProperty_CustomWB_Capture_Frame_Size<dp-CustomWB_Capture_Frame_Size>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
80	Custom WB Capture Operation Enable Status	:ref:`CrDeviceProperty_CustomWB_Capture_Operation<dp-CustomWB_Capture_Operation>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
81	Zoom Operation Enable Status	:ref:`CrDeviceProperty_Zoom_Operation_Status<dp-Zoom_Operation_Status>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
82	Zoom Bar Information	:ref:`CrDeviceProperty_Zoom_Bar_Information<dp-Zoom_Bar_Information>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
83	Zoom Type Status	:ref:`CrDeviceProperty_Zoom_Type_Status<dp-Zoom_Type_Status>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
84	RAW File Compression Type	:ref:`CrDeviceProperty_RAW_FileCompressionType<dp-RAW_FileCompressionType>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
85	Media SLOT1 RAW File Compression Type	:ref:`CrDeviceProperty_MediaSLOT1_RAW_FileCompressionType<dp-MediaSLOT1_RAW_FileCompressionType>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
86	Media SLOT2 RAW File Compression Type	:ref:`CrDeviceProperty_MediaSLOT2_RAW_FileCompressionType<dp-MediaSLOT2_RAW_FileCompressionType>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
87	Cancel Media Format Enable Status	:ref:`CrDeviceProperty_Cancel_Media_FormatEnableStatus<dp-Cancel_Media_FormatEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
88	Cancel Media Format	:ref:`CrCommandId_CancelMediaFormat<command-CancelMediaFormat>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
89	Shutter Half Release and Release	:ref:`CrCommandId_S1andRelease<command-S1andRelease>`	R/T	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
90	Save Zoom&FocusPosition in presets	:ref:`CrDeviceProperty_ZoomAndFocusPosition_Save<dp-ZoomAndFocusPosition_Save>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
91	Load Zoom&FocusPosition from presets	:ref:`CrDeviceProperty_ZoomAndFocusPosition_Load<dp-ZoomAndFocusPosition_Load>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
92	Remocon Zoom Speed Type	:ref:`CrDeviceProperty_Remocon_Zoom_Speed_Type<dp-Remocon_Zoom_Speed_Type>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
93	Zoom Speed Range	:ref:`CrDeviceProperty_Zoom_Speed_Range<dp-Zoom_Speed_Range>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
94	Sdk Control Mode	:ref:`CrDeviceProperty_SdkControlMode<dp-SdkControlMode>`	R/C/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
95	Get content accessibility status	:ref:`CrDeviceProperty_ContentsTransferStatus<dp-ContentsTransferStatus>`	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
96	Cancel Content transfer Enable Status	:ref:`CrDeviceProperty_ContentsTransferCancelEnableStatus<dp-ContentsTransferCancelEnableStatus>`	C	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
